"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","547","Verify get Author By Id response error with wrong author id","Surefire suite","Tue Nov 05 17:36:06 GMT 2024","passed","Tue Nov 05 17:36:07 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_2"
"","1662","Verify getAllBooks response","Surefire suite","Tue Nov 05 17:36:08 GMT 2024","passed","Tue Nov 05 17:36:10 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_1"
"","446","Verify get All Authors response error with wrong url","Surefire suite","Tue Nov 05 17:36:06 GMT 2024","passed","Tue Nov 05 17:36:06 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_1"
"","478","Verify Author update error with wrong url","Surefire suite","Tue Nov 05 17:36:07 GMT 2024","passed","Tue Nov 05 17:36:08 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_4"
"","500","Verify get Book By Id response","Surefire suite","Tue Nov 05 17:36:10 GMT 2024","passed","Tue Nov 05 17:36:10 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_2"
"","423","Verify Author creation","Surefire suite","Tue Nov 05 17:36:13 GMT 2024","passed","Tue Nov 05 17:36:13 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_3"
"","446","Verify Book deletion error with wrong url","Surefire suite","Tue Nov 05 17:36:05 GMT 2024","passed","Tue Nov 05 17:36:06 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_5"
"","563","Verify get Book By Id response error with wrong book id","Surefire suite","Tue Nov 05 17:36:04 GMT 2024","passed","Tue Nov 05 17:36:04 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_2"
"","464","Verify Book update error with wrong date format","Surefire suite","Tue Nov 05 17:36:05 GMT 2024","passed","Tue Nov 05 17:36:05 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_4"
"","451","Verify Book deletion","Surefire suite","Tue Nov 05 17:36:11 GMT 2024","passed","Tue Nov 05 17:36:12 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_5"
"","450","Verify Author creation error with null author id","Surefire suite","Tue Nov 05 17:36:07 GMT 2024","passed","Tue Nov 05 17:36:07 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_3"
"","439","Verify Author deletion error with wrong url","Surefire suite","Tue Nov 05 17:36:08 GMT 2024","passed","Tue Nov 05 17:36:08 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_5"
"","700","Verify Book creation error with null page count","Surefire suite","Tue Nov 05 17:36:04 GMT 2024","passed","Tue Nov 05 17:36:05 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_3"
"","456","Verify Book creation","Surefire suite","Tue Nov 05 17:36:10 GMT 2024","passed","Tue Nov 05 17:36:11 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_3"
"","448","Verify get Author By Id response","Surefire suite","Tue Nov 05 17:36:13 GMT 2024","passed","Tue Nov 05 17:36:13 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_2"
"","440","Verify Author deletion","Surefire suite","Tue Nov 05 17:36:14 GMT 2024","passed","Tue Nov 05 17:36:14 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_5"
"","1806","Verify get All Books response error with wrong url","Surefire suite","Tue Nov 05 17:36:02 GMT 2024","passed","Tue Nov 05 17:36:04 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_1"
"","448","Verify Author update","Surefire suite","Tue Nov 05 17:36:13 GMT 2024","passed","Tue Nov 05 17:36:14 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_4"
"","793","Verify get All Authors response","Surefire suite","Tue Nov 05 17:36:12 GMT 2024","passed","Tue Nov 05 17:36:13 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_1"
"","447","Verify Book update","Surefire suite","Tue Nov 05 17:36:11 GMT 2024","passed","Tue Nov 05 17:36:11 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_4"
